,traffic_injured_and_killed,traffic_with_people,traffic_subtotal,escape_injured_and_killed,escape_subtotal,alcohol_injured_and_killed,alcohol_subtotal
200012,515.0,403.0,3789.0,45.0,950.0,31.0,85.0
200011,578.0,461.0,3931.0,56.0,1017.0,24.0,71.0
200010,615.0,493.0,4117.0,47.0,1078.0,31.0,83.0
200009,675.0,557.0,3807.0,68.0,978.0,45.0,84.0
200008,647.0,525.0,3387.0,74.0,881.0,32.0,77.0
200007,744.0,610.0,4282.0,67.0,1102.0,37.0,99.0
200006,685.0,555.0,3329.0,58.0,842.0,32.0,57.0
200005,675.0,568.0,4123.0,69.0,1086.0,44.0,96.0
200004,557.0,441.0,3317.0,57.0,834.0,26.0,78.0
200003,509.0,414.0,3783.0,48.0,974.0,18.0,73.0
200002,419.0,329.0,3181.0,35.0,890.0,19.0,53.0
200001,434.0,321.0,3448.0,34.0,835.0,37.0,78.0
200112,507.0,377.0,3989.0,39.0,941.0,23.0,66.0
200111,568.0,436.0,4022.0,32.0,1001.0,25.0,68.0
200110,717.0,581.0,4250.0,85.0,1104.0,37.0,77.0
200109,643.0,497.0,3939.0,40.0,953.0,48.0,107.0
200108,600.0,510.0,3351.0,57.0,814.0,21.0,60.0
200107,921.0,755.0,4288.0,83.0,1047.0,35.0,71.0
200106,679.0,560.0,3715.0,78.0,905.0,46.0,68.0
200105,817.0,655.0,4128.0,67.0,1081.0,32.0,85.0
200104,578.0,454.0,3565.0,68.0,897.0,32.0,68.0
200103,535.0,426.0,3970.0,43.0,962.0,36.0,63.0
200102,439.0,343.0,3148.0,51.0,820.0,20.0,49.0
200101,448.0,354.0,3348.0,44.0,871.0,36.0,66.0
200212,394.0,304.0,3023.0,38.0,706.0,27.0,63.0
200211,563.0,448.0,3529.0,50.0,882.0,10.0,44.0
200210,630.0,467.0,3859.0,49.0,1019.0,53.0,83.0
200209,621.0,509.0,3436.0,77.0,1039.0,51.0,107.0
200208,601.0,479.0,3007.0,50.0,785.0,29.0,71.0
200207,865.0,711.0,3960.0,72.0,1026.0,40.0,84.0
200206,833.0,675.0,3586.0,74.0,987.0,42.0,74.0
200205,654.0,537.0,3731.0,73.0,857.0,32.0,58.0
200204,521.0,432.0,3142.0,37.0,784.0,28.0,65.0
200203,520.0,414.0,3380.0,39.0,897.0,21.0,61.0
200202,393.0,316.0,2892.0,33.0,817.0,22.0,49.0
200201,431.0,328.0,3063.0,36.0,852.0,24.0,44.0
200312,493.0,383.0,3527.0,78.0,858.0,27.0,58.0
200311,464.0,359.0,3325.0,59.0,953.0,31.0,44.0
200310,595.0,466.0,3631.0,47.0,960.0,17.0,74.0
200309,560.0,452.0,3393.0,50.0,945.0,26.0,63.0
200308,577.0,461.0,2837.0,41.0,698.0,40.0,66.0
200307,644.0,538.0,3321.0,35.0,562.0,35.0,76.0
200306,723.0,566.0,3139.0,81.0,855.0,41.0,82.0
200305,632.0,510.0,3255.0,56.0,763.0,26.0,65.0
200304,535.0,429.0,3106.0,30.0,844.0,25.0,50.0
200303,476.0,374.0,3060.0,44.0,854.0,17.0,53.0
200302,308.0,232.0,2968.0,20.0,572.0,16.0,44.0
200301,358.0,282.0,3073.0,21.0,747.0,18.0,55.0
200412,416.0,416.0,3792.0,45.0,942.0,12.0,52.0
200411,439.0,360.0,3449.0,46.0,903.0,20.0,51.0
200410,561.0,465.0,3716.0,40.0,1022.0,26.0,68.0
200409,659.0,541.0,3663.0,63.0,957.0,41.0,79.0
200408,584.0,584.0,2926.0,48.0,784.0,47.0,58.0
200407,811.0,646.0,3760.0,83.0,970.0,44.0,67.0
200406,598.0,491.0,3229.0,53.0,859.0,25.0,58.0
200405,600.0,476.0,3378.0,41.0,867.0,30.0,55.0
200404,461.0,388.0,3183.0,39.0,875.0,10.0,37.0
200403,403.0,321.0,3271.0,20.0,817.0,18.0,44.0
200402,310.0,240.0,2728.0,31.0,723.0,21.0,48.0
200401,377.0,286.0,2969.0,33.0,828.0,10.0,42.0
200512,460.0,487.0,3549.0,32.0,817.0,12.0,41.0
200511,458.0,496.0,3205.0,27.0,845.0,14.0,42.0
200510,568.0,451.0,3503.0,54.0,962.0,35.0,57.0
200509,825.0,678.0,3921.0,81.0,1086.0,50.0,76.0
200508,582.0,462.0,2965.0,37.0,811.0,33.0,48.0
200507,675.0,558.0,3631.0,65.0,951.0,26.0,63.0
200506,729.0,627.0,3499.0,53.0,901.0,31.0,57.0
200505,618.0,521.0,3321.0,52.0,902.0,21.0,48.0
