MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Alkoholunf?le,insgesamt,2021,202101,,28,,,
Alkoholunf?le,insgesamt,2021,202102,,40,,,
Alkoholunf?le,insgesamt,2021,202103,,27,,,
Alkoholunf?le,insgesamt,2021,202104,,26,,,
Alkoholunf?le,insgesamt,2021,202105,,40,,,
Alkoholunf?le,insgesamt,2021,202106,,49,,,
Alkoholunf?le,insgesamt,2021,202107,,58,,,
Alkoholunf?le,insgesamt,2021,202108,,46,,,
Alkoholunf?le,insgesamt,2021,202109,,46,,,
Alkoholunf?le,insgesamt,2021,202110,,34,,,
Alkoholunf?le,insgesamt,2021,202111,,23,,,
Alkoholunf?le,insgesamt,2021,202112,,13,,,
Alkoholunf?le,insgesamt,2020,Summe,430,434,,-0.92,
Alkoholunf?le,insgesamt,2020,202001,28,22,-20,27.27,37
Alkoholunf?le,insgesamt,2020,202002,40,28,42.86,42.86,38
Alkoholunf?le,insgesamt,2020,202003,27,34,-32.5,-20.59,37
Alkoholunf?le,insgesamt,2020,202004,26,36,-3.7,-27.78,36
Alkoholunf?le,insgesamt,2020,202005,40,39,53.85,2.56,36
Alkoholunf?le,insgesamt,2020,202006,49,40,22.5,22.5,37
Alkoholunf?le,insgesamt,2020,202007,58,48,18.37,20.83,38
Alkoholunf?le,insgesamt,2020,202008,46,31,-20.69,48.39,39
Alkoholunf?le,insgesamt,2020,202009,46,47,0,-2.13,39
Alkoholunf?le,insgesamt,2020,202010,34,45,-26.09,-24.44,38
Alkoholunf?le,insgesamt,2020,202011,23,29,-32.35,-20.69,38
Alkoholunf?le,insgesamt,2020,202012,13,35,-43.48,-62.86,36
Alkoholunf?le,insgesamt,2019,Summe,434,398,,9.05,
Alkoholunf?le,insgesamt,2019,201901,22,22,4.76,0,33
Alkoholunf?le,insgesamt,2019,201902,28,24,27.27,16.67,34
Alkoholunf?le,insgesamt,2019,201903,34,32,21.43,6.25,34
Alkoholunf?le,insgesamt,2019,201904,36,25,5.88,44,35
Alkoholunf?le,insgesamt,2019,201905,39,34,8.33,14.71,35
Alkoholunf?le,insgesamt,2019,201906,40,39,2.56,2.56,35
Alkoholunf?le,insgesamt,2019,201907,48,51,20,-5.88,35
Alkoholunf?le,insgesamt,2019,201908,31,40,-35.42,-22.5,34
Alkoholunf?le,insgesamt,2019,201909,47,36,51.61,30.56,35
Alkoholunf?le,insgesamt,2019,201910,45,43,-4.26,4.65,35
Alkoholunf?le,insgesamt,2019,201911,29,31,-35.56,-6.45,35
Alkoholunf?le,insgesamt,2019,201912,35,21,20.69,66.67,36
Alkoholunf?le,insgesamt,2018,Summe,398,409,,-2.69,
Alkoholunf?le,insgesamt,2018,201801,22,19,-47.62,15.79,34
Alkoholunf?le,insgesamt,2018,201802,24,22,9.09,9.09,35
Alkoholunf?le,insgesamt,2018,201803,32,36,33.33,-11.11,34
Alkoholunf?le,insgesamt,2018,201804,25,26,-21.88,-3.85,34
Alkoholunf?le,insgesamt,2018,201805,34,29,36,17.24,35
Alkoholunf?le,insgesamt,2018,201806,39,41,14.71,-4.88,34
Alkoholunf?le,insgesamt,2018,201807,51,52,30.77,-1.92,34
Alkoholunf?le,insgesamt,2018,201808,40,30,-21.57,33.33,35
Alkoholunf?le,insgesamt,2018,201809,36,47,-10,-23.4,34
Alkoholunf?le,insgesamt,2018,201810,43,32,19.44,34.38,35
Alkoholunf?le,insgesamt,2018,201811,31,33,-27.91,-6.06,35
