Date,Value,Category_Alcohol Accidents,Category_Escape Accidents,AccidentType_injured and killed,AccidentType_subtotal
2000-12,515.0,0,0,1,0
2000-11,578.0,0,0,1,0
2000-10,615.0,0,0,1,0
2000-09,675.0,0,0,1,0
2000-08,647.0,0,0,1,0
2000-07,744.0,0,0,1,0
2000-06,685.0,0,0,1,0
2000-05,675.0,0,0,1,0
2000-04,557.0,0,0,1,0
2000-03,509.0,0,0,1,0
2000-02,419.0,0,0,1,0
2000-01,434.0,0,0,1,0
2001-12,507.0,0,0,1,0
2001-11,568.0,0,0,1,0
2001-10,717.0,0,0,1,0
2001-09,643.0,0,0,1,0
2001-08,600.0,0,0,1,0
2001-07,921.0,0,0,1,0
2001-06,679.0,0,0,1,0
2001-05,817.0,0,0,1,0
2001-04,578.0,0,0,1,0
2001-03,535.0,0,0,1,0
2001-02,439.0,0,0,1,0
2001-01,448.0,0,0,1,0
2002-12,394.0,0,0,1,0
2002-11,563.0,0,0,1,0
2002-10,630.0,0,0,1,0
2002-09,621.0,0,0,1,0
2002-08,601.0,0,0,1,0
2002-07,865.0,0,0,1,0
2002-06,833.0,0,0,1,0
2002-05,654.0,0,0,1,0
2002-04,521.0,0,0,1,0
2002-03,520.0,0,0,1,0
2002-02,393.0,0,0,1,0
2002-01,431.0,0,0,1,0
2003-12,493.0,0,0,1,0
2003-11,464.0,0,0,1,0
2003-10,595.0,0,0,1,0
2003-09,560.0,0,0,1,0
2003-08,577.0,0,0,1,0
2003-07,644.0,0,0,1,0
2003-06,723.0,0,0,1,0
2003-05,632.0,0,0,1,0
2003-04,535.0,0,0,1,0
2003-03,476.0,0,0,1,0
2003-02,308.0,0,0,1,0
2003-01,358.0,0,0,1,0
2004-12,416.0,0,0,1,0
2004-11,439.0,0,0,1,0
2004-10,561.0,0,0,1,0
2004-09,659.0,0,0,1,0
2004-08,584.0,0,0,1,0
2004-07,811.0,0,0,1,0
2004-06,598.0,0,0,1,0
2004-05,600.0,0,0,1,0
2004-04,461.0,0,0,1,0
2004-03,403.0,0,0,1,0
2004-02,310.0,0,0,1,0
2004-01,377.0,0,0,1,0
2005-12,460.0,0,0,1,0
2005-11,458.0,0,0,1,0
2005-10,568.0,0,0,1,0
2005-09,825.0,0,0,1,0
2005-08,582.0,0,0,1,0
2005-07,675.0,0,0,1,0
2005-06,729.0,0,0,1,0
2005-05,618.0,0,0,1,0
2005-04,514.0,0,0,1,0
2005-03,385.0,0,0,1,0
2005-02,282.0,0,0,1,0
2005-01,306.0,0,0,1,0
2006-12,466.0,0,0,1,0
2006-11,468.0,0,0,1,0
2006-10,632.0,0,0,1,0
2006-09,490.0,0,0,1,0
2006-08,513.0,0,0,1,0
2006-07,787.0,0,0,1,0
2006-06,479.0,0,0,1,0
2006-05,564.0,0,0,1,0
2006-04,387.0,0,0,1,0
2006-03,375.0,0,0,1,0
2006-02,279.0,0,0,1,0
2006-01,364.0,0,0,1,0
2007-12,414.0,0,0,1,0
2007-11,405.0,0,0,1,0
2007-10,491.0,0,0,1,0
2007-09,462.0,0,0,1,0
2007-08,422.0,0,0,1,0
2007-07,511.0,0,0,1,0
2007-06,535.0,0,0,1,0
2007-05,591.0,0,0,1,0
2007-04,500.0,0,0,1,0
2007-03,347.0,0,0,1,0
2007-02,277.0,0,0,1,0
2007-01,268.0,0,0,1,0
2008-12,272.0,0,0,1,0
2008-11,321.0,0,0,1,0
2008-10,455.0,0,0,1,0
2008-09,422.0,0,0,1,0
2008-08,480.0,0,0,1,0
2008-07,538.0,0,0,1,0
2008-06,473.0,0,0,1,0
2008-05,534.0,0,0,1,0
2008-04,355.0,0,0,1,0
2008-03,254.0,0,0,1,0
2008-02,340.0,0,0,1,0
2008-01,307.0,0,0,1,0
2009-12,391.0,0,0,1,0
2009-11,366.0,0,0,1,0
2009-10,432.0,0,0,1,0
2009-09,452.0,0,0,1,0
2009-08,466.0,0,0,1,0
2009-07,556.0,0,0,1,0
2009-06,443.0,0,0,1,0
2009-05,535.0,0,0,1,0
2009-04,416.0,0,0,1,0
2009-03,245.0,0,0,1,0
2009-02,340.0,0,0,1,0
2009-01,223.0,0,0,1,0
2010-12,277.0,0,0,1,0
2010-11,383.0,0,0,1,0
2010-10,524.0,0,0,1,0
2010-09,534.0,0,0,1,0
2010-08,481.0,0,0,1,0
2010-07,721.0,0,0,1,0
2010-06,517.0,0,0,1,0
2010-05,389.0,0,0,1,0
2010-04,216.0,0,0,1,0
2010-03,341.0,0,0,1,0
2010-02,247.0,0,0,1,0
2010-01,192.0,0,0,1,0
2011-12,370.0,0,0,1,0
2011-11,438.0,0,0,1,0
2011-10,481.0,0,0,1,0
2011-09,519.0,0,0,1,0
2011-08,487.0,0,0,1,0
2011-07,637.0,0,0,1,0
2011-06,472.0,0,0,1,0
2011-05,765.0,0,0,1,0
2011-04,604.0,0,0,1,0
2011-03,425.0,0,0,1,0
2011-02,343.0,0,0,1,0
2011-01,328.0,0,0,1,0
2012-12,317.0,0,0,1,0
2012-11,471.0,0,0,1,0
2012-10,580.0,0,0,1,0
2012-09,632.0,0,0,1,0
2012-08,635.0,0,0,1,0
2012-07,730.0,0,0,1,0
2012-06,681.0,0,0,1,0
2012-05,719.0,0,0,1,0
2012-04,485.0,0,0,1,0
2012-03,526.0,0,0,1,0
2012-02,290.0,0,0,1,0
2012-01,338.0,0,0,1,0
2013-12,423.0,0,0,1,0
2013-11,483.0,0,0,1,0
2013-10,595.0,0,0,1,0
2013-09,617.0,0,0,1,0
2013-08,645.0,0,0,1,0
2013-07,976.0,0,0,1,0
2013-06,734.0,0,0,1,0
2013-05,530.0,0,0,1,0
2013-04,523.0,0,0,1,0
2013-03,350.0,0,0,1,0
2013-02,326.0,0,0,1,0
2013-01,320.0,0,0,1,0
2014-12,413.0,0,0,1,0
2014-11,464.0,0,0,1,0
2014-10,652.0,0,0,1,0
2014-09,620.0,0,0,1,0
2014-08,517.0,0,0,1,0
2014-07,783.0,0,0,1,0
2014-06,656.0,0,0,1,0
2014-05,671.0,0,0,1,0
2014-04,549.0,0,0,1,0
2014-03,559.0,0,0,1,0
2014-02,372.0,0,0,1,0
2014-01,412.0,0,0,1,0
2015-12,479.0,0,0,1,0
2015-11,506.0,0,0,1,0
2015-10,569.0,0,0,1,0
2015-09,614.0,0,0,1,0
2015-08,546.0,0,0,1,0
2015-07,809.0,0,0,1,0
2015-06,673.0,0,0,1,0
2015-05,604.0,0,0,1,0
2015-04,598.0,0,0,1,0
2015-03,471.0,0,0,1,0
2015-02,321.0,0,0,1,0
2015-01,334.0,0,0,1,0
2016-12,381.0,0,0,1,0
2016-11,489.0,0,0,1,0
2016-10,559.0,0,0,1,0
2016-09,759.0,0,0,1,0
2016-08,540.0,0,0,1,0
2016-07,742.0,0,0,1,0
2016-06,691.0,0,0,1,0
2016-05,602.0,0,0,1,0
2016-04,545.0,0,0,1,0
2016-03,370.0,0,0,1,0
2016-02,351.0,0,0,1,0
2016-01,380.0,0,0,1,0
2017-12,376.0,0,0,1,0
2017-11,443.0,0,0,1,0
2017-10,572.0,0,0,1,0
2017-09,546.0,0,0,1,0
2017-08,504.0,0,0,1,0
2017-07,752.0,0,0,1,0
2017-06,668.0,0,0,1,0
2017-05,631.0,0,0,1,0
2017-04,439.0,0,0,1,0
2017-03,486.0,0,0,1,0
2017-02,334.0,0,0,1,0
2017-01,307.0,0,0,1,0
2018-12,348.0,0,0,1,0
2018-11,485.0,0,0,1,0
2018-10,616.0,0,0,1,0
2018-09,645.0,0,0,1,0
2018-08,529.0,0,0,1,0
2018-07,852.0,0,0,1,0
2018-06,732.0,0,0,1,0
2018-05,640.0,0,0,1,0
2018-04,619.0,0,0,1,0
2018-03,383.0,0,0,1,0
2018-02,328.0,0,0,1,0
2018-01,350.0,0,0,1,0
2019-12,378.0,0,0,1,0
2019-11,453.0,0,0,1,0
2019-10,591.0,0,0,1,0
2019-09,609.0,0,0,1,0
2019-08,532.0,0,0,1,0
2019-07,898.0,0,0,1,0
2019-06,710.0,0,0,1,0
2019-05,484.0,0,0,1,0
2019-04,515.0,0,0,1,0
2019-03,427.0,0,0,1,0
2019-02,345.0,0,0,1,0
2019-01,297.0,0,0,1,0
2020-12,311.0,0,0,1,0
2020-11,348.0,0,0,1,0
2020-10,566.0,0,0,1,0
2020-09,634.0,0,0,1,0
2020-08,563.0,0,0,1,0
2020-07,821.0,0,0,1,0
2020-06,585.0,0,0,1,0
2020-05,464.0,0,0,1,0
2020-04,363.0,0,0,1,0
2020-03,334.0,0,0,1,0
2020-02,355.0,0,0,1,0
2020-01,360.0,0,0,1,0
2000-12,403.0,0,0,0,0
2000-11,461.0,0,0,0,0
2000-10,493.0,0,0,0,0
2000-09,557.0,0,0,0,0
2000-08,525.0,0,0,0,0
2000-07,610.0,0,0,0,0
2000-06,555.0,0,0,0,0
2000-05,568.0,0,0,0,0
2000-04,441.0,0,0,0,0
2000-03,414.0,0,0,0,0
2000-02,329.0,0,0,0,0
2000-01,321.0,0,0,0,0
2001-12,377.0,0,0,0,0
2001-11,436.0,0,0,0,0
2001-10,581.0,0,0,0,0
2001-09,497.0,0,0,0,0
2001-08,510.0,0,0,0,0
2001-07,755.0,0,0,0,0
2001-06,560.0,0,0,0,0
2001-05,655.0,0,0,0,0
2001-04,454.0,0,0,0,0
